show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
80060297,Movie,Manhattan Romance,Tom O'Brien,Tom O'Brien  Katherine Waterston  Caitlin Fitzgerald  Gaby Hoffmann  Louis Cancelmi  Zach Grenier,United States,September 8  2017,2014,TV-14,98 min,Comedies  Independent Movies  Romantic Movies,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
80046728,Movie,Moonwalkers,Antoine Bardou-Jacquet,Ron Perlman  Rupert Grint  Robert Sheehan  Stephen Campbell Moore  Eric Lampaert  Kevin Bishop  Tom Audenaert  Erika Sainte,France  Belgium,September 8  2017,2015,R,96 min,Action & Adventure  Comedies  International Movies,A brain-addled war vet  a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.
80046727,Movie,Rolling Papers,Mitch Dickman,Unknown,United States  Uruguay,September 8  2017,2015,TV-MA,79 min,Documentaries,As the newspaper industry takes a hit  The Denver Post breaks new ground with a section dedicated to cannabis culture.
80057700,Movie,The Runner,Austin Stark,Nicolas Cage  Sarah Paulson  Connie Nielsen  Wendell Pierce  Bryan Batt  Peter Fonda  Dana Gourrier,United States,September 8  2017,2015,R,90 min,Dramas  Independent Movies,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922,Movie,6 Years,Hannah Fidell,Taissa Farmiga  Ben Rosenfield  Lindsay Burdge  Joshua Leonard  Jennifer Lafleur  Peter Vack  Dana Wheeler-Nicholson  Jason Newman  Molly McMichael,United States,September 8  2015,2015,NR,80 min,Dramas  Independent Movies  Romantic Movies,As a volatile young couple who have been together for six years approach college graduation  unexpected career opportunities threaten their future.
80244601,TV Show,Castle of Stars,Unknown,Chaiyapol Pupart  Jintanutda Lummakanon  Worrawech Danuwong  Ornjira Lamwilai  Yong Armchair  Keerati Mahapreukpong  Akarat Nimitchai  Kornpassorn Duaysianklao  Nattapong Chartpong,Unknown,September 7  2018,2015,TV-14,1 Season,International TV Shows  Romantic TV Shows  TV Comedies,As four couples with different lifestyles go through the ebbs and flows of joy and sorrow  each must learn how to live a good life.
80203094,Movie,City of Joy,Madeleine Gavin,Unknown,United States,September 7  2018,2018,TV-MA,77 min,Documentaries,Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy  a center that helps them regain a sense of self and empowerment.
80190843,TV Show,First and Last,Unknown,Unknown,Unknown,September 7  2018,2018,TV-MA,1 Season,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
80239639,Movie,Sierra Burgess Is A Loser,Ian Samuels,Shannon Purser  Kristine Froseth  RJ Cyler  Noah Centineo  Loretta Devine  Giorgia Whigham  Alice Lee  Lea Thompson  Alan Ruck  Mary Pat Gleason  Chrissy Metz,United States,September 7  2018,2018,PG-13,106 min,Comedies  Romantic Movies,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
80159586,Movie,The Most Assassinated Woman in the World,Franck Ribière,Anna Mouglalis  Niels Schneider  André Wilms  Michel Fau  Sissi Duparc  Jean-Michel Balthazar  Julie Recoing  Eric Godon  Maya Coline  Constance Dollé,Belgium  United Kingdom  United States,September 7  2018,2018,TV-MA,102 min,Dramas  International Movies  Thrillers,In 1930s Paris  an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.
80152447,Movie,Cézanne et moi,Daniele Thompson,Guillaume Canet  Guillaume Gallienne  Alice Pol  Déborah François  Sabine Azéma  Freya Mavor  Isabelle Candelier  Laurent Stocker,Belgium  France,September 7  2017,2016,R,114 min,Dramas  Independent Movies  International Movies,This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola  who first met as schoolboys.
80221550,TV Show,Archibald's Next Big Thing,Unknown,Tony Hale  Rosamund Pike  Jordan Fisher  Chelsea Kane  Adam Pally  Kari Wahlgren,Unknown,September 6  2019,2019,TV-Y7,1 Season,Kids' TV  TV Comedies,Happy-go-lucky chicken Archibald may not remember to do his chores  but he never forgets to have fun. After all  life's an adventure!
80178151,TV Show,The Spy,Unknown,Sacha Baron Cohen  Noah Emmerich  Hadar Ratzon Rotem  Alexander Siddig  Waleed Zuaiter  Nassim Lyes,France,September 6  2019,2019,TV-MA,1 Season,International TV Shows  TV Dramas  TV Thrillers,In the 1960s  Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous  years-long mission to spy for Mossad.
80058026,Movie,Hell and Back,Tom Gianas  Ross R. Shuman,Nick Swardson  Mila Kunis  Bob Odenkirk  T.J. Miller  Rob Riggle  Susan Sarandon  Danny McBride  Jennifer Coolidge  John Farley  Maria Bamford,United States,September 6  2018,2015,R,86 min,Action & Adventure  Comedies  Independent Movies,When best friends break a blood oath  one of them is cast away to hell  and the other two must save him from the misfits of the underworld.
80162141,Movie,Hard Tide,Robert Osman  Nathanael Wiseman,Nathanael Wiseman  Mem Ferda  Alexandra Newick  Oliver Stark  Kat Gellin  Andy Lucas  Ralph Brown  Beverly Hills,United Kingdom,September 6  2017,2015,TV-MA,79 min,Dramas  Independent Movies,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
80095641,Movie,Elstree 1976,Jon Spira,Paul Blake  Jeremy Bulloch  John Chapman  Anthony Forrest  Laurie Goode  Garrick Hagon  Derek Lyons  Angus MacInnes  David Prowse  Pam Rose,United Kingdom,September 6  2016,2015,TV-PG,102 min,Documentaries,Then and now footage of bit players who appeared in "Star Wars" tells the story of how the film and its legions of fans changed their lives forever.
80159880,Movie,ATM,Mez Tharatorn,Chantavit Dhanasevi  Preechaya Pongthananikorn  Chaleumpol Tikumpornteerawong  Thawat Pornrattanaprasert  Sananthachat Thanapatpisal  Pongkool Suebsung  Puttachat Pongsuchat  Gornpop Janjaroen  Yanee Tramoth  Pongsatorn Jongwilak,United States  Canada,September 5  2018,2012,TV-14,122 min,Comedies  International Movies  Romantic Movies,When a broken ATM dishes out a fortune  a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.
80158838,Movie,I Fine... Thank You... Love You,Mez Tharatorn,Preechaya Pongthananikorn  Sunny Suwanmethanont  Sora Aoi  Puttachat Pongsuchat  Popetorn Soonthornyanakij,Thailand,September 5  2018,2014,TV-14,116 min,Comedies  International Movies  Romantic Movies,Desperate to go to the U.S. to win back his girlfriend  Yim hires a tutor to teach him English. But things don't go according to plan.
80158839,Movie,Suckseed,Chayanop Boonprakob,Jirayu La-ongmanee  Pachara Chirathivat  Nattasha Nauljam  Thawat Pornrattanaprasert,Thailand,September 5  2018,2011,TV-MA,130 min,Comedies  International Movies,When his boyhood crush Ern returns  Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.
80147760,Movie,Carrie Pilby,Susan Johnson,Bel Powley  Nathan Lane  Vanessa Bayer  Gabriel Byrne  Jason Ritter  Colin O'Donoghue  William Moseley  Desmin Borges,United States,September 5  2017,2016,TV-14,98 min,Comedies  Dramas,A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend  get a job and – maybe – even go on a date.
80177405,Movie,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,September 5  2017,2017,TV-MA,70 min,Stand-Up Comedy,Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation  mortality  documentary films and our weird modern world.
80113482,TV Show,No Tomorrow,Unknown,Joshua Sasse  Tori Anderson  Jonathan Langdon  Sarayu Blue  Jesse Rath  Amy Pietz,United States,September 5  2017,2016,TV-14,1 Season,Romantic TV Shows  TV Comedies  TV Dramas,Her straitjacketed life turned topsy-turvy by hunky Xavier  Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.
80201906,Movie,Black Panther,Ryan Coogler,Chadwick Boseman  Michael B. Jordan  Lupita Nyong'o  Danai Gurira  Martin Freeman  Daniel Kaluuya  Letitia Wright  Winston Duke  Sterling K. Brown  Angela Bassett  Forest Whitaker  Andy Serkis  Florence Kasumba  John Kani  David S. Lee  Stan Lee,United States,September 4  2018,2018,PG-13,135 min,Action & Adventure  Sci-Fi & Fantasy,T'Challa  the superpowered new leader of the hidden  highly advanced African nation of Wakanda  strives to protect his home from enemies old and new.
80052612,Movie,Man Up,Ben Palmer,Lake Bell  Simon Pegg  Ophelia Lovibond  Olivia Williams  Rory Kinnear  Henry Lloyd-Hughes  Ken Stott  Sharon Horgan  Harriet Walter  Stephen Campbell Moore  Dean-Charles Chapman  Phoebe Waller-Bridge,United Kingdom  France,September 4  2018,2015,R,88 min,Comedies  International Movies  Romantic Movies,A single woman seizes an opportunity when  while standing under a train station clock  she meets a stranger who mistakes her for his blind date.
80113641,TV Show,Frequency,Unknown,Peyton List  Riley Smith  Mekhi Phifer  Devin Kelley  Lenny Jacobson  Daniel Bonjour  Anthony Ruivivar,United States,September 4  2017,2016,TV-14,1 Season,Crime TV Shows  TV Dramas  TV Mysteries,A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased  estranged father via a time warp.
80239337,TV Show,Ben 10,Unknown,Tara Strong  Montse Hernandez  David Kaye  Roger Craig Smith  Todd Haberkorn  Dwight Schultz  Daryl Sabara,United States,September 30  2018,2016,TV-Y7,1 Season,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.
80128317,TV Show,The Eighties,Unknown,Unknown,United States,September 30  2018,2016,TV-PG,1 Season,Docuseries,This nostalgic documentary series relives the 1980s from a variety of angles  exploring its impact on the politics  technology and culture of today.
80030186,TV Show,The Seventies,Unknown,Unknown,United States,September 30  2018,2015,TV-PG,1 Season,Docuseries,This series examines 1970s America  focusing on the major political and historical landmarks of the decade and the cultural response to those events.
80116921,TV Show,We Bare Bears,Unknown,Eric Edelstein  Demetri Martin  Bobby Moynihan,United States,September 30  2018,2017,TV-Y7,1 Season,Kids' TV  TV Comedies,Grizzly  Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized  modern human world.
80187061,Movie,The Mayor,Park In-je,Min-sik Choi  Do-won Kwak  Eun-kyung Shim  So-ri Moon  Mi-ran Ra  Hye-young Ryu  Ki Hong Lee  Sun-gyu Jin  Joo-yeon Lee  Byeong-eun Park,South Korea,September 30  2017,2017,TV-MA,130 min,Dramas  International Movies,With the presidency in mind  the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.
80181555,TV Show,The Royal House of Windsor,Unknown,Unknown,United Kingdom,September 30  2017,2017,TV-14,1 Season,British TV Shows  Docuseries  International TV Shows,Drawing on newly available info  this show traces how the British royal family has survived the last 100 years of power struggles  politics and more.
80081155,Movie,Amanda Knox,Rod Blackhurst  Brian McGinn,Unknown,Denmark  United States,September 30  2016,2016,TV-MA,92 min,Documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
80184358,TV Show,Lovesick,Unknown,Kongyingyong Chonlathorn  Phumphothingam Nawat  Luangsodsai Anupart  Nuchanart Veerakaarn  Chindavanich Primrose  Charnmanoon Pannin  Nungira Hanwutinanon  Ausavaterakul Ausavapat  Sirikiet Saejea  Nontapan Chuenwarin,Unknown,September 3  2018,2014,TV-14,1 Season,International TV Shows  Romantic TV Shows  TV Dramas,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
80198585,Movie,The Debt Collector,Jesse V. Johnson,Scott Adkins  Louis Mandylor  Vladimir Kulich  Michael Paré  Rachel Brann  Selina Lo  Tony Todd,United Kingdom  United States,September 3  2018,2018,TV-MA,96 min,Action & Adventure,A broke martial arts instructor takes a side gig with a mobster  who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.
80128722,Movie,Gerald's Game,Mike Flanagan,Carla Gugino  Bruce Greenwood  Henry Thomas  Carel Struycken  Chiara Aurelia,United States,September 29  2017,2017,TV-MA,103 min,Horror Movies  Thrillers,When her husband's sex game goes wrong  Jessie – handcuffed to a bed in a remote lake house – faces warped visions  dark secrets and a dire choice.
80182115,Movie,Long Shot,Jacob LaMendola,Unknown,United States,September 29  2017,2017,TV-14,40 min,Documentaries,When Juan Catalan is arrested for a murder he didn't commit  he builds his case for innocence around raw footage from a popular TV show. A documentary.
80163293,TV Show,Mak Cun,Unknown,Erma Fatima  Rahim Razali  Umie Aida  Nora Danish,Unknown,September 29  2017,2015,TV-PG,1 Season,International TV Shows  TV Comedies  TV Dramas,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.
80104068,Movie,Our Souls at Night,Ritesh Batra,Robert Redford  Jane Fonda  Bruce Dern  Matthias Schoenaerts  Iain Armitage  Judy Greer  Phyllis Somerville,United States,September 29  2017,2017,TV-14,103 min,Dramas  Romantic Movies,After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness  a real romance begins to blossom.
80119349,Movie,Out of Thin Air,Dylan Howitt,Unknown,Unknown,September 29  2017,2017,TV-14,85 min,Documentaries  International Movies,Picking up 40 years after six were convicted for two strange murders in Iceland  this chilling documentary proves confessions can’t always be trusted.
80199032,TV Show,Paul Hollywood's Big Continental Road Trip,Unknown,Paul Hollywood,United Kingdom,September 29  2017,2017,TV-14,1 Season,British TV Shows  Docuseries  International TV Shows,Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France  Italy and Germany.
80180449,TV Show,Satu Hari,Unknown,Sara Ali  Remy Ishak  Rita Rudaini  Mirza Salihovic  Hafizul Kamal  Miller Khan,Unknown,September 29  2017,2014,TV-14,1 Season,International TV Shows  TV Dramas,A man haunted by his wife's affair moves to Sarajevo and starts to love again  until fate forces him to choose between his new life and old loyalty.
80019931,Movie,Monster High: Boo York  Boo York,William Lau,Karen Strassman  Celeste Henderson  Wendee Lee  TJ Smith  America Young  Rachel Staman  Laura Bailey,United States,September 29  2015,2015,TV-Y7,72 min,Children & Family Movies  Music & Musicals,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.
80200087,Movie,Domino,Brian De Palma,Nikolaj Coster-Waldau  Carice van Houten  Eriq Ebouaney  Guy Pearce  Mohammed Azaay  Søren Malling  Paprika Steen  Helena Kaittani,Denmark  France  Italy  Belgium  Netherlands,September 28  2019,2019,R,89 min,International Movies  Thrillers,A Copenhagen police officer hunts for the man who attacked his partner  only to stumble into a high-stakes game of espionage.
80157072,Movie,Hold the Dark,Jeremy Saulnier,Jeffrey Wright  Alexander Skarsgård  James Badge Dale  Riley Keough  Julian Black Antelope  Tantoo Cardinal  Macon Blair  Jonathan Whitesell  Peter McRobbie,United States,September 28  2018,2018,TV-MA,126 min,Action & Adventure  Dramas,In the grim Alaskan winter  a naturalist hunts for wolves blamed for killing a local boy  but he soon finds himself swept into a chilling mystery.
80201933,TV Show,Made in Mexico,Unknown,Unknown,United States,September 28  2018,2018,TV-MA,1 Season,International TV Shows  Reality TV  Spanish-Language TV Shows,These Mexico City socialites may lead opulent lives  but a peek behind the curtain reveals a tangled web of intrigue  envy and personal struggles.
80126507,Movie,Bobby Sands: 66 Days,Brendan Byrne,Unknown,Ireland  United Kingdom,September 28  2017,2016,TV-14,106 min,Documentaries,In 1981  an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.
80225885,TV Show,Bard of Blood,Unknown,Emraan Hashmi  Viineet Kumar  Sobhita Dhulipala  Jaideep Ahlawat  Kirti Kulhari  Sohum Shah  Rajit Kapoor  Danish Hussain,India,September 27  2019,2019,TV-MA,1 Season,International TV Shows  TV Action & Adventure  TV Dramas,Years after a disastrous job in Balochistan  a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.
80218107,TV Show,Dragons: Rescue Riders,Unknown,Nicolas Cantu  Brennley Brown  Zach Callison  Skai Jackson  Noah Kaye Bentley  Andre Robinson  Marsai Martin,Unknown,September 27  2019,2019,TV-Y,1 Season,Kids' TV  TV Comedies,Twins Dak and Leyla and their dragon friends devote their lives to rescuing others  defending their home of Huttsgalor and having fun along the way.
80231903,Movie,In the Shadow of the Moon,Jim Mickle,Boyd Holbrook  Michael C. Hall  Cleopatra Coleman  Bokeem Woodbine  Rudi Dharmalingam  Rachel Keller,United States,September 27  2019,2019,TV-MA,116 min,Dramas  Sci-Fi & Fantasy  Thrillers,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.
80220715,TV Show,Skylines,Unknown,Edin Hasanovic  Peri Baumeister  Murathan Muslu  Erdal Yıldız  Richy Müller  Anna Herrmann  Sahin Eryilmaz  Lisa Maria Potthoff  Carol Schuler  Dustin Jérôme Schanz  Nimo  Christopher Schärf  Slavko Popadic,Unknown,September 27  2019,2019,TV-MA,1 Season,Crime TV Shows  International TV Shows  TV Dramas,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.
80241248,TV Show,The Politician,Unknown,Ben Platt  Gwyneth Paltrow  Jessica Lange  Zoey Deutch  Lucy Boynton  Bob Balaban  David Corenswet  Julia Schlaepfer  Laura Dreyfuss  Theo Germaine  Rahne Jones  Benjamin Barrett,United States,September 27  2019,2019,TV-14,1 Season,TV Comedies  TV Dramas  Teen TV Shows,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
80060037,Movie,Much Loved,Nabil Ayouch,Loubna Abidar  Asmaa Lazrak  Halima Karaouane  Sara El Mhamdi Elaaloui  Abdellah Didane  Danny Boushebel  Carlo Brandt  Camélia Montassere,France  Morocco,September 27  2017,2015,TV-MA,104 min,Dramas  Independent Movies  International Movies,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.
80215923,Movie,The Hurricane Heist,Rob Cohen,Toby Kebbell  Maggie Grace  Ryan Kwanten  Ralph Ineson  Melissa Bolona  Ben Cross  Jamie Andrew Cutler,United States,September 26  2018,2018,PG-13,103 min,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.
80151483,Movie,Def Comedy Jam 25,Louis J. Horvitz,Dave Chappelle  Steve Harvey  Cedric the Entertainer  Martin Lawrence  Tiffany Haddish  Katt Williams  Craig Robinson  D.L. Hughley  Eddie Griffin  J.B. Smoove  Joe Torry  Kid Capri  Mike Epps  Sheryl Underwood  Tracy Morgan  Deon Cole,United States,September 26  2017,2017,TV-MA,82 min,Stand-Up Comedy,In this special live event  giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking "Def Comedy Jam."
80173625,Movie,Restless Creature: Wendy Whelan,Linda Saffire  Adam Schlesinger,Peter Martins  Sean Suozzi  Gretchen Smith  Ashley Laracey  Tiler Peck  Damian Woetzel  Albert Evans  Sterling Hyltin  Craig Hall  Peter Boal  Karen Young  Michelle Rodriguez  Jock Soto  Adam Barrett,United States,September 26  2017,2016,TV-MA,94 min,Documentaries,After 30 years with the New York City Ballet  celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.
80005444,Movie,Print the Legend,Luis Lopez  Clay Tweel,Unknown,United States,September 26  2014,2014,TV-14,100 min,Documentaries,This award-winning  original documentary chronicles the race for market leadership in 3D printing  the next wave of technological evolution.
80244682,Movie,Birders,Otilia Portillo Padua,Unknown,United States  Mexico,September 25  2019,2019,TV-G,38 min,Documentaries  International Movies,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.
80166318,Movie,Leap!,Eric Summer  Éric Warin,Bronwen Mantel  Mel Brooks  Maddie Ziegler  Dane DeHaan  Julie Khaner  Elle Fanning  Terrence Scammell  Tamir Kapelian  Carly Rae Jepsen,France  Canada,September 25  2019,2016,PG,89 min,Children & Family Movies  Comedies,Félicie and Victor  two young friends in 1880s France  escape from an orphanage to pursue their dreams in Paris  the glittering City of Lights.
80108976,Movie,USS Indianapolis: Men of Courage,Mario Van Peebles,Nicolas Cage  Tom Sizemore  Thomas Jane  Matt Lanter  James Remar  Brian Presley  Johnny Wactor  Adam Scott Miller  Cody Walker  Callard Harris,United States,September 25  2019,2016,R,130 min,Action & Adventure,After becoming stranded in the Philippine Sea during World War II  a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.
80208155,Movie,A Wrinkle in Time,Ava DuVernay,Storm Reid  Oprah Winfrey  Reese Witherspoon  Mindy Kaling  Deric McCabe  Levi Miller  Chris Pine  Gugu Mbatha-Raw  Zach Galifianakis  Michael Peña  Bellamy Young  André Holland  Will McCormack  Rowan Blanchard  Daniel MacPherson,United States,September 25  2018,2018,PG,110 min,Children & Family Movies,Years after their father disappears  Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.
80198423,Movie,Teach Us All,Sonia Lowman,Unknown,United States,September 25  2017,2017,TV-14,81 min,Documentaries,It's been decades since Brown v. Board of Education  yet American schools remain largely segregated. Some leaders are working to change that.
80162144,Movie,White Island,Benjamin Turner,Lyndon Ogbourne  Billy Zane  Billy Boyd  Joel Dommett  Elliot Gleave  Gala Gordon  Darren Day  Owain Arthur  Craig Gazey  Ben Cura,United Kingdom,September 25  2017,2016,TV-MA,91 min,Comedies  Independent Movies  Thrillers,Returning to Ibiza after several years walking the straight and narrow in London  Connor falls back in with a criminal crowd. It's like he never left.
80103311,Movie,The Bar,Álex de la Iglesia,Blanca Suárez  Mario Casas  Carmen Machi  Secun de la Rosa  Jaime Ordoñez  Terele Pávez  Joaquín Climent  Alejandro Awada,Spain  Argentina,September 24  2017,2017,TV-MA,102 min,Comedies  Horror Movies  International Movies,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.
80238106,TV Show,Team Kaylie,Unknown,Bryana Salaz  Alison Fernandez  Symera Jackson  Elie Samouhi  Kai Calhoun  Eliza Pryor  Rosa Blasi  Nicole Sullivan  David Gridley,Unknown,September 23  2019,2019,TV-PG,1 Season,Kids' TV  TV Comedies,After a brush with the law  teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.
80208906,Movie,Under the Eiffel Tower,Archie Borders,Matt Walsh  Judith Godreche  Reid Scott  Michaela Watkins  David Wain  Gary Cole,United States,September 23  2019,2018,TV-MA,87 min,Comedies  Independent Movies  Romantic Movies,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.
80097321,Movie,Audrie & Daisy,Bonni Cohen  Jon Shenk,Unknown,United States,September 23  2016,2016,TV-14,99 min,Documentaries,In this wrenching documentary  two teens are sexually assaulted by boys they considered friends  humiliated online and harassed by their communities.
80106966,Movie,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,Iliza Shlesinger,United States,September 23  2016,2016,TV-MA,78 min,Stand-Up Comedy,The stand-up sensation tackles TV's "Shark Tank " what it means to be a woman and how to deal with the lawless party goblin that lives in us all.
80211380,Movie,In Darkness,Anthony Byrne,Natalie Dormer  Ed Skrein  Emily Ratajkowski  Neil Maskell  Jan Bijvoet  James Cosmo  Joely Richardson,United Kingdom  United States,September 22  2018,2018,TV-MA,101 min,Independent Movies  International Movies  Thrillers,A blind pianist fears for her life after the suspicious death of her neighbor  the daughter of a businessman accused of war crimes.
80196586,Movie,Gaga: Five Foot Two,Chris Moukarbel,Lady Gaga,United States,September 22  2017,2017,TV-MA,101 min,Documentaries  Music & Musicals,Follow pop provocateur Lady Gaga as she releases a new album  preps for her Super Bowl halftime show  and confronts physical and emotional struggles.
